Hotel_Address,Additional_Number_of_Scoring,Review_Date,Average_Score,Hotel_Name,Reviewer_Nationality,Negative_Review,Review_Total_Negative_Word_Counts,Total_Number_of_Reviews,Positive_Review,Review_Total_Positive_Word_Counts,Total_Number_of_Reviews_Reviewer_Has_Given,Reviewer_Score,Tags,days_since_review,lat,lng,review_total,review_total_clean,compound,review_tag_vader
Lancaster Gate Westminster Borough London W2 3LG United Kingdom,452,11/14/2015,7.6,Corus Hotel Hyde Park, Malaysia , The pillow is hard and not fuffy at all Woke up every morning with stiff neck and shoulder,19,2562,No Positive,0,17,8.3,"[' Business trip ', ' Couple ', ' Executive Double ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",628 day,51.5119446,-0.179939, The pillow is hard and not fuffy at all Woke up every morning with stiff neck and shoulderNo Positive,the pillow is hard and not fuffy at all woke up every morning with stiff neck and shoulderno positive,0.4939,Negative
29 rue Victor Mass 9th arr 75009 Paris France,74,8/23/2016,9.1,Grand Pigalle Hotel, Australia , Saying goodbye the the reception staff,7,399, Placed perfect for everything location location great place to stay recommend to all that come to rome staff cannot do enough for you,24,1,10.0,"[' Leisure trip ', ' Couple ', ' Standard Room Sopi ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",345 day,48.880856,2.3375085, Saying goodbye the the reception staff Placed perfect for everything location location great place to stay recommend to all that come to rome staff cannot do enough for you,saying goodbye the the reception staff placed perfect for everything location location great place to stay recommend to all that come to rome staff cannot do enough for you,0.8834,Positive
100 110 Euston Road Camden London NW1 2AJ United Kingdom,728,7/5/2016,8.9,Pullman London St Pancras, Australia , Somewhat expensive but location is hard to beat ,10,3168, Excellent location in very close walking distance to St Pancras station and Eurostar Staff were very friendly and helpful Breakfast was good with an extensive range of options ,30,21,9.2,"[' Leisure trip ', ' Couple ', ' Classic King Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",394 day,51.5286766,-0.1283489, Somewhat expensive but location is hard to beat  Excellent location in very close walking distance to St Pancras station and Eurostar Staff were very friendly and helpful Breakfast was good with an extensive range of options ,somewhat expensive but location is hard to beat excellent location in very close walking distance to st pancras station and eurostar staff were very friendly and helpful breakfast was good with an extensive range of options,0.9592,Positive
22 Hertsmere Road Tower Hamlets London E14 4ED United Kingdom,930,4/17/2016,8.9,London Marriott Hotel West India Quay, United Kingdom , TV problems but remedied to my satisfaction ,9,2836, The staff were exemplary ,6,1,8.8,"[' Leisure trip ', ' Solo traveler ', ' Deluxe King or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",473 day,51.5072713,-0.0211213, TV problems but remedied to my satisfaction  The staff were exemplary ,tv problems but remedied to my satisfaction the staff were exemplary,0.4588,Positive
Wibautstraat 129 Oost 1091 GL Amsterdam Netherlands,975,2/17/2017,8.7,The Student Hotel Amsterdam City, United Kingdom , It was a tad annoying that we had to get a train from the hotel to the city centre but it was only a few stops and only took 2 minutes but would of liked it to have been a 15 minute walk from the centre however was about 50 minutes 1 hour ,55,7656, The bed was amazing And the curtains were completely black out Staff was very friendly ,17,1,9.6,"[' Leisure trip ', ' Couple ', ' Standard Suite ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",167 day,52.3546649,4.9131641, It was a tad annoying that we had to get a train from the hotel to the city centre but it was only a few stops and only took 2 minutes but would of liked it to have been a 15 minute walk from the centre however was about 50 minutes 1 hour  The bed was amazing And the curtains were completely black out Staff was very friendly ,it was tad annoying that we had to get train from the hotel to the city centre but it was only few stops and only took minutes but would of liked it to have been minute walk from the centre however was about minutes hour the bed was amazing and the curtains were completely black out staff was very friendly,0.9168,Positive
61 Lincoln s Inn Fields Camden London WC2A 3JW United Kingdom,681,6/23/2016,8.9,Club Quarters Hotel Lincoln s Inn Fields, United Kingdom , Never tryed the food so can not comment on that ,12,2692, The staff are lovely and very helpful ,9,1,10.0,"[' Leisure trip ', ' Family with older children ', ' Superior Queen Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",406 day,51.5160988,-0.1181749, Never tryed the food so can not comment on that  The staff are lovely and very helpful ,never tryed the food so can not comment on that the staff are lovely and very helpful,0.7841,Positive
30 Leinster Gardens Bayswater Westminster Borough London W2 3AN United Kingdom,1198,8/30/2015,8.5,Blakemore Hyde Park, United Kingdom , For business travellers there should some drinks in the fridge as they might be arriving and leaving soon no time to go out and find just a bottle of water ,32,6596,No Positive,0,13,3.5,"[' Business trip ', ' Solo traveler ', ' Club Single Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",704 day,51.5129736,-0.1837431, For business travellers there should some drinks in the fridge as they might be arriving and leaving soon no time to go out and find just a bottle of water No Positive,for business travellers there should some drinks in the fridge as they might be arriving and leaving soon no time to go out and find just bottle of water no positive,0.0516,Negative
8 Rue Francois 1Er 8th arr 75008 Paris France,98,1/7/2017,8.4,Residence Du Roy, Egypt , Most staff are not helpful specially night shift except habib hassan and the tunisian lady at the dinning room they tried their best ,25,970, Location,2,1,4.2,"[' Leisure trip ', ' Family with young children ', ' One Bedroom Suite ', ' Stayed 6 nights ', ' Submitted from a mobile device ']",208 day,48.8657687,2.3090386, Most staff are not helpful specially night shift except habib hassan and the tunisian lady at the dinning room they tried their best  Location,most staff are not helpful specially night shift except habib hassan and the tunisian lady at the dinning room they tried their best location,0.4344,Negative
7 Pepys Street City of London London EC3N 4AF United Kingdom,1936,4/5/2016,8.7,DoubleTree by Hilton Hotel London Tower of London, United Kingdom , Hotel charged my card twice bit of invonvenience,9,7491, Roof top bar excellent views of the city Breakfast was nice,12,1,7.1,"[' Leisure trip ', ' Couple ', ' Queen Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",485 day,51.5108412,-0.0780581, Hotel charged my card twice bit of invonvenience Roof top bar excellent views of the city Breakfast was nice,hotel charged my card twice bit of invonvenience roof top bar excellent views of the city breakfast was nice,0.7579,Neutral
Muntaner 212 Eixample 08036 Barcelona Spain,79,9/20/2016,8.1,Guitart Grand Passage, Australia , Shower head was always twisted and water ends up on the floor making it very slippery ,18,867, Hotel was in a central location and very clean staff were always helpful Wifi was excellent Our room had been renovated and it looked like they may have been going to start on the passages ,37,12,9.6,"[' Leisure trip ', ' Couple ', ' Comfort Double Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",317 day,41.3936071,2.1504611, Shower head was always twisted and water ends up on the floor making it very slippery  Hotel was in a central location and very clean staff were always helpful Wifi was excellent Our room had been renovated and it looked like they may have been going to start on the passages ,shower head was always twisted and water ends up on the floor making it very slippery hotel was in central location and very clean staff were always helpful wifi was excellent our room had been renovated and it looked like they may have been going to start on the passages,0.8999,Positive
45 St Martin s Lane Westminster Borough London WC2N 4HX United Kingdom,338,2/16/2017,9.0,St Martins Lane A Morgans Original, United Kingdom ,No Negative,0,1241, This hotel has it all Believe me when I say you get what you pay for Excellent service facilities and location ,23,4,9.6,"[' Leisure trip ', ' Couple ', ' Superior Queen Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",168 day,51.5104696,-0.1265824,No Negative This hotel has it all Believe me when I say you get what you pay for Excellent service facilities and location ,no negative this hotel has it all believe me when say you get what you pay for excellent service facilities and location,-0.3818,Positive
6 Hercules Road Lambeth London SE1 7DP United Kingdom,323,1/16/2017,8.8,Park Plaza London Waterloo, United Kingdom , The smart lighting was a bit of a nuisance it kept switching off while we were in the room So having restored the lighting we would have to go to turn off the bathroom light as it was activated at the same time I hate the noise of extractor fans ,52,1489, The location is extremely quiet yet just a short walk from Westminster Bridge You don t hear the sound of the almost constant emergency vehicle sirens nearby The hotel is quiet too Choice of small eateries within a few yards ,42,1,10.0,"[' Couple ', ' Superior King Room ', ' Stayed 2 nights ']",199 day,51.4982412,-0.1134715, The smart lighting was a bit of a nuisance it kept switching off while we were in the room So having restored the lighting we would have to go to turn off the bathroom light as it was activated at the same time I hate the noise of extractor fans  The location is extremely quiet yet just a short walk from Westminster Bridge You don t hear the sound of the almost constant emergency vehicle sirens nearby The hotel is quiet too Choice of small eateries within a few yards ,the smart lighting was bit of nuisance it kept switching off while we were in the room so having restored the lighting we would have to go to turn off the bathroom light as it was activated at the same time hate the noise of extractor fans the location is extremely quiet yet just short walk from westminster bridge you don hear the sound of the almost constant emergency vehicle sirens nearby the hotel is quiet too choice of small eateries within few yards,-0.1639,Negative
53 59 Kilburn High Road Maida Vale London Camden London NW6 5SB United Kingdom,364,7/5/2017,7.1,BEST WESTERN Maitrise Hotel Maida Vale, United Kingdom , Room and area,4,1877, Booked hotel because of its proximity to Wembley Not a particularly good area restaurants nearby ok No window in room and therefore no view and felt like a cave Also smelt mildly of damp Breakfast good,37,3,6.3,"[' Leisure trip ', ' Family with young children ', ' Standard Double Room No Window ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",29 days,51.5366053,-0.1919832, Room and area Booked hotel because of its proximity to Wembley Not a particularly good area restaurants nearby ok No window in room and therefore no view and felt like a cave Also smelt mildly of damp Breakfast good,room and area booked hotel because of its proximity to wembley not particularly good area restaurants nearby ok no window in room and therefore no view and felt like cave also smelt mildly of damp breakfast good,-0.6054,Negative
Prins Hendrikkade 59 72 Amsterdam City Center 1012 AD Amsterdam Netherlands,493,5/17/2016,8.6,NH Collection Amsterdam Barbizon Palace, United Kingdom ,No Negative,0,2865, Staff were very nice,5,4,10.0,"[' Leisure trip ', ' Couple ', ' Superior Double or Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",443 day,52.3764175,4.9002201,No Negative Staff were very nice,no negative staff were very nice,-0.4228,Positive
Wiedner Hauptstr 27 29 04 Wieden 1040 Vienna Austria,279,7/2/2017,8.8,Hotel Erzherzog Rainer, India ,No Negative,0,3598, interiors were good,4,3,8.8,"[' Leisure trip ', ' Family with young children ', ' Special Offer Queen Room ', ' Stayed 4 nights ']",32 days,48.1953229,16.3672882,No Negative interiors were good,no negative interiors were good,-0.4588,Positive
53 59 Kilburn High Road Maida Vale London Camden London NW6 5SB United Kingdom,364,11/3/2016,7.1,BEST WESTERN Maitrise Hotel Maida Vale, United Kingdom , The staff were not friendly and the room we were checked into smelled strongly of vomit When we asked to change rooms the staff acted like it was an immense burden and just gave us a new key for a different without smiling or saying anything The rooms are very small ,53,1877, The breakfast was nice ,6,2,5.4,"[' Leisure trip ', ' Couple ', ' Standard Double Room No Window ', ' Stayed 1 night ']",273 day,51.5366053,-0.1919832, The staff were not friendly and the room we were checked into smelled strongly of vomit When we asked to change rooms the staff acted like it was an immense burden and just gave us a new key for a different without smiling or saying anything The rooms are very small  The breakfast was nice ,the staff were not friendly and the room we were checked into smelled strongly of vomit when we asked to change rooms the staff acted like it was an immense burden and just gave us new key for different without smiling or saying anything the rooms are very small the breakfast was nice,-0.1551,Negative
Great Cumberland Place Westminster Borough London W1H 7DL United Kingdom,1190,12/25/2015,7.5,The Cumberland A Guoman Hotel, Greece , No power sockets next to the bed,8,5180, Location,2,1,9.2,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 7 nights ', ' Submitted from a mobile device ']",587 day,51.514879,-0.1606501, No power sockets next to the bed Location,no power sockets next to the bed location,-0.296,Negative
Wrights Lane Kensington and Chelsea London W8 5SP United Kingdom,1172,7/10/2016,7.8,Holiday Inn London Kensington, United Kingdom ,No Negative,0,5945, location is perfect for exploring London,7,1,10.0,"[' Leisure trip ', ' Couple ', ' Executive Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",389 day,51.499981,-0.1928791,No Negative location is perfect for exploring London,no negative location is perfect for exploring london,-0.296,Positive
26 33 Queens Gardens Westminster Borough London W2 3BE United Kingdom,207,10/5/2015,8.2,Caesar Hotel, United Kingdom ,No Negative,0,1164, It was nicer than expected ,7,6,7.9,"[' Business trip ', ' Solo traveler ', ' Executive Single Room ', ' Stayed 1 night ']",668 day,51.5134603,-0.1833081,No Negative It was nicer than expected ,no negative it was nicer than expected,-0.4588,Positive
K rntnerstra e 18 Eingang Neuer Markt 3 01 Innere Stadt 1010 Vienna Austria,325,9/4/2015,8.6,Austria Trend Hotel Europa Wien, Malaysia ,No Negative,0,3221, location,2,22,10.0,"[' Leisure trip ', ' Couple ', ' Classic Room ', ' Stayed 1 night ']",699 day,48.2062103,16.3710387,No Negative location,no negative location,-0.7096,Positive
4 Broad Court Bow Street Covent Garden Westminster Borough London WC2B 5QZ United Kingdom,294,9/10/2016,8.7,Fielding Hotel, United States of America ,No Negative,0,1271, Really outstanding exceptional staff,5,4,10.0,"[' Leisure trip ', ' Couple ', ' Twin Room ', ' Stayed 3 nights ']",327 day,51.5139315,-0.1219893,No Negative Really outstanding exceptional staff,no negative really outstanding exceptional staff,-0.1548,Positive
30 Jamestown Road Camden London NW1 7BY United Kingdom,418,3/6/2016,8.6,Holiday Inn London Camden Lock, United Kingdom ,No Negative,0,1572, Everything,2,1,10.0,"[' Leisure trip ', ' Couple ', ' Family Room 2 Adults 2 Children ', ' Stayed 1 night ', ' Submitted from a mobile device ']",515 day,51.5404555,-0.1460833,No Negative Everything,no negative everything,-0.7096,Positive
Plaza Paisos Catalans s n Sants Montju c 08014 Barcelona Spain,420,7/26/2017,8.6,Barcel Sants, Portugal , Price It is outrageously expensive for what one gets The fake future atmosphere,14,4379, Location Convenient when you arrive in a late flight and have an early train in the morning or vice versa ,22,1,6.7,"[' Solo traveler ', ' Deluxe Double or Twin Room ', ' Stayed 1 night ']",8 days,41.3798964,2.1412433, Price It is outrageously expensive for what one gets The fake future atmosphere Location Convenient when you arrive in a late flight and have an early train in the morning or vice versa ,price it is outrageously expensive for what one gets the fake future atmosphere location convenient when you arrive in late flight and have an early train in the morning or vice versa,-0.6486,Negative
Largo Augusto 10 Milan City Center 20122 Milan Italy,398,12/16/2016,8.7,NH Collection Milano President, Hong Kong , no bad comment,4,3754, Comfy bed nice balcony with view ,8,2,7.5,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 2 nights ']",230 day,45.4630685,9.1979367, no bad comment Comfy bed nice balcony with view ,no bad comment comfy bed nice balcony with view,-0.4404,Positive
111 avenue de la Bourdonnais 7th arr 75007 Paris France,178,1/19/2016,8.8,H tel de la Bourdonnais, Australia , no pool,3,1337, location,2,2,9.6,"[' Leisure trip ', ' Couple ', ' Classic Double Room ', ' Stayed 2 nights ']",562 day,48.8550466,2.304583, no pool location,no pool location,-0.296,Negative
Moll de Barcelona WTC Ciutat Vella 08039 Barcelona Spain,666,7/8/2016,8.5,Eurostars Grand Marina Hotel GL, South Africa ,No Negative,0,4559, the staff was very good,6,2,10.0,"[' Leisure trip ', ' Family with older children ', ' 2 rooms ', ' Stayed 1 night ']",391 day,41.371308,2.181698,No Negative the staff was very good,no negative the staff was very good,-0.4033,Positive
1 Waterview Drive Greenwich London SE10 0TW United Kingdom,1258,7/9/2017,9.4,Intercontinental London The O2, United Kingdom ,No Negative,0,4204, Everything,2,2,10.0,"[' Leisure trip ', ' Group ', ' Superior Double or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",25 days,51.5024348,-0.0002497,No Negative Everything,no negative everything,-0.7096,Positive
41 Avenue Marceau 16th arr 75016 Paris France,160,11/20/2016,8.2,Elys es R gencia, United Arab Emirates , some of arab people with noisy talking at midnight so we can not sleep,15,1100,No Positive,0,2,8.8,"[' Leisure trip ', ' Family with young children ', ' Superior Double or Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",256 day,48.8686434,2.2984054, some of arab people with noisy talking at midnight so we can not sleepNo Positive,some of arab people with noisy talking at midnight so we can not sleepno positive,-0.5609,Negative
K rntner Stra e 32 34 01 Innere Stadt 1010 Vienna Austria,228,7/24/2017,8.5,Austria Trend Hotel Astoria Wien, United Arab Emirates , No A C Room was too too hot and very difficult to sleep ,15,2279, Location,2,1,6.7,"[' Leisure trip ', ' Couple ', ' Comfort Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",10 days,48.2044655,16.3702399, No A C Room was too too hot and very difficult to sleep  Location,no room was too too hot and very difficult to sleep location,-0.6115,Negative
Bergara 11 Eixample 08002 Barcelona Spain,434,7/12/2017,8.6,Catalonia Plaza Catalunya, United Kingdom ,No Negative,0,4153, friendly staff modern room no hassle,7,3,9.2,"[' Leisure trip ', ' Couple ', ' Double or Twin Room ', ' Stayed 4 nights ']",22 days,41.3865289,2.1682919,No Negative friendly staff modern room no hassle,no negative friendly staff modern room no hassle,-0.5994,Positive
12 Lancaster Gate Lancaster Gate Westminster Borough London W2 3LG United Kingdom,440,2/15/2016,8.0,Best Western Mornington Hotel Hyde Park, United Kingdom , Nothing,2,2418, Near to the park you could get everywhere underground just round the corner,14,1,10.0,"[' Leisure trip ', ' Couple ', ' Executive Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",535 day,51.5119933,-0.1782794, Nothing Near to the park you could get everywhere underground just round the corner,nothing near to the park you could get everywhere underground just round the corner,0.0,Neutral
Via Augusta 5 08006 Barcelona Spain,92,5/17/2016,8.3,Hotel Balmoral, United Kingdom , location to ctr,4,1023, comfy bed big bathroom,5,1,7.9,"[' Leisure trip ', ' Couple ', ' Interior Double or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",443 day,41.3961294,2.1551626, location to ctr comfy bed big bathroom,location to ctr comfy bed big bathroom,0.0,Positive
Apollolaan 2 Oud Zuid 1077 BA Amsterdam Netherlands,419,7/21/2016,8.2,Apollo Hotel Amsterdam, India , 1 WiFi in room was inconsistent 2 TUB WAS VERY SLIPPERY The grab bar for showering should be higher 3 Hotel did not reply my message for shuttle from the airport ,33,2968, Didn t have breakfast there ,7,8,9.2,"[' Family with older children ', ' Standard Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",378 day,52.3486098,4.8844292, 1 WiFi in room was inconsistent 2 TUB WAS VERY SLIPPERY The grab bar for showering should be higher 3 Hotel did not reply my message for shuttle from the airport  Didn t have breakfast there ,wifi in room was inconsistent tub was very slippery the grab bar for showering should be higher hotel did not reply my message for shuttle from the airport didn have breakfast there,0.0,Negative
Leidsekade 97 Amsterdam City Center 1017 PN Amsterdam Netherlands,601,2/23/2017,8.5,Hampshire Hotel Amsterdam American, United Kingdom , Bit pricey,3,4032, Balcony with view of canal,6,2,8.8,"[' Leisure trip ', ' Couple ', ' Classic Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",161 day,52.363889,4.881302, Bit pricey Balcony with view of canal,bit pricey balcony with view of canal,0.0,Neutral
112 boulevard de S bastopol 3rd arr 75003 Paris France,134,7/8/2017,8.3,Best Western Premier Marais Grands Boulevards, New Zealand , noise rooms are small,5,1408, the staff access to metro,6,3,7.5,"[' Leisure trip ', ' Family with young children ', ' Classic Double Room ', ' Stayed 2 nights ']",26 days,48.8687425,2.3541761, noise rooms are small the staff access to metro,noise rooms are small the staff access to metro,0.0,Neutral
